"expt_id","well_ID","sample","background","rep_ID","condition","control","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","maxgr","dtime","ltime"
"2303_21","A10","YBR CRSPR (YARC492)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.81033415999771,5.02311544216986e-05,0.00374462238034446,2801.98048074675,185.10469418713,2830.96045264892,2947.5,0.0672593719359665,0.00242017653562694,286.403562036183,2001.34652077594
"2303_21","A11","BY4741","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","yes",1.81659514520833,2.91441041519104e-05,0.00404261793811344,2730.95454475524,171.459977462875,2968.99916930226,3039.9075,0.0515528044583397,0.00401544642098979,172.620204054195,2042.62900033764
"2303_21","A2","YBR CRSPR (YARC492)","BY4741",1,"YPDA (pH 7.5)","",1.91988867118636,0.00196029261091119,0.00959716705980266,717.493726714811,72.2241445043886,7002.60161041305,7010.775,0.0201215400661678,0.00477737920662767,145.089420491959,273.201051140526
"2303_21","A3","BY4741","BY4741",2,"YPDA (pH 7.5)","yes",1.93082303230327,0.00332582684632566,0.00919954811000153,691.583897464694,75.3457857137974,7092.35458561089,7096.545,0.0173371293048029,0.0046695236175165,148.440662760497,227.636188025505
"2303_21","A4","YBR CRSPR (YARC492)","BY4741",2,"YPDA (pH 7.5)","",1.97064228241623,0.00244635758263302,0.00881603474198828,758.875458911314,78.6234629111295,7106.10383438851,7110.8775,0.0143267237017843,0.00443230786180008,156.385161449151,275.064672843762
"2303_21","A5","BY4741","BY4741",1,"DMSO (pH 7.5)","yes",1.94123371182914,0.0111172671106468,0.00893929627720176,576.872715595634,77.5393452757244,7352.39317431557,7350.2775,0.0116035455014464,0.00518565259276538,133.666335752412,150.280465440987
"2303_21","A6","YBR CRSPR (YARC492)","BY4741",1,"DMSO (pH 7.5)","",1.91231273535859,0.00664083833456934,0.00912924300913941,619.914675382756,75.9260302158707,7161.04567045881,7160.445,0.0166923142082889,0.00512197575598249,135.328086969241,199.074651657722
"2303_21","A7","BY4741","BY4741",2,"DMSO (pH 7.5)","yes",1.89210207332137,0.00531391856609899,0.00914091184495557,642.419689657511,75.829106802125,7042.91977192433,7042.6575,0.0199141917996265,0.00501729128120481,138.151672229303,218.847058935315
"2303_21","A8","YBR CRSPR (YARC492)","BY4741",2,"DMSO (pH 7.5)","",1.93298494586503,0.0085877110362114,0.00888771699870583,608.934312563265,77.9893397439272,7259.45003187388,7259.085,0.0133890750714661,0.00500099320642399,138.601904051693,168.546480824049
"2303_21","A9","BY4741","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","yes",1.85656835182692,7.43754471285529e-05,0.00359439181890063,2816.90893549265,192.841297077053,2876.09154553178,2945.7,0.06138420175503,0.0129102729786939,53.6895836132871,2224.30536870859
"2303_21","B1","BY4742","BY4742",1,"YPDA (pH 7.5)","yes",1.87414117467042,0.00127238075239922,0.00963940140432802,756.720940331741,71.9076996055717,6762.2923126794,6771.375,0.0216298966907996,0.00473574660551773,146.364921584348,309.479723844321
"2303_21","B10","YBR CRSPR (YARC493)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.82398600705361,6.538543016337e-06,0.00445795434023906,2812.68399718701,155.485482276782,2831.80511304053,2944.1475,0.0584137007933179,0.002330228122023,297.458937178299,1947.19739081161
"2303_21","B11","BY4742","BY4742",2,"1ug/ml Tunicamycin (pH 7.5)","yes",1.91386027331826,1.05432262647856e-05,0.00408888444422239,2961.47859120749,169.519875167753,2687.64533846497,2798.2125,0.0548644384254648,0.00218203826056148,317.660415533495,2001.09043291111
"2303_21","B12","YBR CRSPR (YARC493)","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.83983629240688,3.31197364225408e-05,0.00384324531862274,2842.66001140278,180.354654229655,2802.22342729897,2927.1375,0.0694010966358285,0.00481294238663325,144.017344251822,2368.02088374559
"2303_21","B2","YBR CRSPR (YARC493)","BY4741",1,"YPDA (pH 7.5)","",1.95400126545874,0.00328049759144226,0.00897353054328442,711.866869054492,77.2435305386775,7137.86087863482,7145.1225,0.0260702861796841,0.00443999987395297,156.114234287766,217.954605469801
"2303_21","B3","BY4742","BY4742",2,"YPDA (pH 7.5)","yes",1.89241088653574,0.00220595646658712,0.00916750766959082,736.653798135658,75.6091192439529,6866.08108445122,6874.4475,0.0232795048246503,0.00439159504485142,157.834949142811,248.61958030451
"2303_21","B4","YBR CRSPR (YARC493)","BY4741",2,"YPDA (pH 7.5)","",1.94478018525389,0.006218448706764,0.00876583057829811,655.064124421861,79.0737596818258,7214.29924640624,7211.3625,0.0186751840216322,0.00517770149887966,133.871599339963,224.083239013922
"2303_21","B5","BY4742","BY4742",1,"DMSO (pH 7.5)","yes",1.91245277180911,0.0053824456789256,0.00895832708800004,655.276433546329,77.374622934726,7094.06943865538,7097.3775,0.0168318084737174,0.00471083483198926,147.138926598122,189.630226486044
"2303_21","B6","YBR CRSPR (YARC493)","BY4741",1,"DMSO (pH 7.5)","",1.91906611053035,0.0185508631622275,0.00760797338294062,608.488457907795,91.1079923221328,7206.54378756871,7198.1775,0.0311635229540572,0.00484626772218858,143.027009710252,142.388560750731
"2303_21","B7","BY4742","BY4742",2,"DMSO (pH 7.5)","yes",1.87074522309055,0.0029349226190129,0.00928255717500699,695.480873608135,74.6720076689884,6864.41895237057,6867.045,0.0204091152740163,0.00500432171344708,138.509716251334,261.569113905812
"2303_21","B8","YBR CRSPR (YARC493)","BY4741",2,"DMSO (pH 7.5)","",1.9296471589647,0.00683917165018336,0.00881943288935109,639.369372184355,78.593169113728,7188.37571269685,7187.4225,0.0223040916266283,0.00494254953497385,140.240816132481,191.039501324749
